OBJECTID;CRSH_ID;COUNTY;COUNTY_NBR;MUNCIPALIT;ON_RD;DIS;DIR;FROM_RD;TWDS_RD;MLPST_RD;GIS_MP_ROU;MILEPOST;HO_ROUTE_N;HO_ROUTE_C;SEV;CRASH_DATE;DAY;TIME;LIGHT_COND;ROAD_SURFA;ALCOHOL_FL;MOTORCYCLE;HEAVY_TRUC;SPEED_RELA;OLDER_DRIV;TEEN_DRIVE;CRASH_TYPE;LOC_ERROR;geo_shape;geo_point_2d
716;103081429.0;CARTERET;15.0;NEWPORT;HIBBS;1.0;W;US 70;NC 24;SR 1141;4000114120.0;2.186;SR 1141;SR;K;2011-01-03T20:00:00-05:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;UNK;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.87336431370315, 34.75758842654377]}";34.7575884265, -76.8733643137
710;103795902.0;CHATHAM;18.0;SILER CITY;SR 1506;0.067;S;SR 1555;REBECCA;SR 1506;4000150620.0;14.017000000000001;SR 1506;SR;K;2013-07-04T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAWN;DRY;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.31802933559746, 35.817474399924855]}";35.8174743999, -79.3180293356
704;103801493.0;CATAWBA;17.0;NEWTON;SR 1884;0.21;E;SR 1880;SR 2710;SR 1884;4000188420.0;1.55;SR 1884;SR;K;2013-07-14T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.1955869127558, 35.63501270604942]}";35.635012706, -81.1955869128
805;103439904.0;BURKE;11.0;MORGANTON;I 40;0.7000000000000001;E;SR 1129;*MILE 95;I 40;1000004010.0;1.92;I 40;INTERSTATE;K;2012-04-29T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;UNK;N;Y;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.82853052029766, 35.69076170355292]}";35.6907617036, -81.8285305203
790;103015356.0;CABARRUS;12.0;CONCORD;CONCORD;0.3;N;BRUTON SMITH;CARPENTER;US 29;2000002910.0;0.9500000000000001;US 29;US;K;2010-11-05T21:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;N;N;N;N;Y;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.68262084861593, 35.356758547384324]}";35.3567585474, -80.6826208486
800;104145207.0;CATAWBA;17.0;HICKORY;US 321;0.049;N;NC 127;I 40;US 321;2000032120.0;11.898;US 321;US;K;2014-08-17T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.3522288075365, 35.69515867668471]}";35.6951586767, -81.3522288075
799;102929758.0;CHATHAM;18.0;SILER CITY;SR 1557;1.0;E;SR 1003;SR 1556;SR 1557;4000155720.0;2.23;SR 1557;SR;K;2010-07-14T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.3496752443935, 35.78694946863401]}";35.7869494686, -79.3496752444
808;103773333.0;CARTERET;15.0;NEWPORT;US 70;0.3;W;SR 1209;CL-CRAVEN;US 70;2000007020.0;0.67;US 70;US;K;2013-06-10T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.88162335839277, 34.835429446348826]}";34.8354294463, -76.8816233584
813;102914448.0;CATAWBA;17.0;HICKORY;I 40;0.3;E;*MILE 124;*MILE 125;I 40;1000004020.0;4.572;I 40;INTERSTATE;K;2010-07-15T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;WET;N;Y;N;Y;N;Y;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.33119488641836, 35.712183113265546]}";35.7121831133, -81.3311948864
821;103870870.0;CABARRUS;12.0;HARRISBURG;NC 49;0.0;;SHAMROCK;*;NC 49;3000004910.0;2.791;NC 49;NC;K;2013-09-19T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.63656424163268, 35.32620603933316]}";35.3262060393, -80.6365642416
823;103906210.0;CABARRUS;12.0;CONCORD;WARREN C COLEMAN;1.0;S;ZION CHURCH;FLOWES STORE;WARREN C COLEMAN;5003588610.0;999.999;WARREN C COLEMAN;LCL;K;2013-10-27T21:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;Y;N;Y;N;LANE_DEPARTURE;ROUTE NOT FOUND;;
896;103901354.0;CHATHAM;18.0;PITTSBORO;SR 1011;0.7000000000000001;W;SR 1910;SR 1926;SR 1011;4000101120.0;2.92;SR 1011;SR;K;2013-11-11T20:00:00-05:00;TUESDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;N;Y;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.02107921274444, 35.634762357817635]}";35.6347623578, -79.0210792127
871;103253437.0;CATAWBA;17.0;MAIDEN;SR 1844;0.027;S;SR 1952;SR 1899;SR 1844;4000184420.0;0.9630000000000001;SR 1844;SR;K;2011-09-16T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.99051918334685, 35.55712776292061]}";35.5571277629, -80.9905191833
910;104189260.0;CATAWBA;17.0;CONOVER;SR 1700;1.1;SE;SR 1703;SR 1705;SR 1700;4000170020.0;3.46;SR 1700;SR;K;2014-10-02T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;UNK;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.13652964530078, 35.79766442821498]}";35.7976644282, -81.1365296453
914;103886425.0;CABARRUS;12.0;CONCORD;I 85;0.38;N;SR 2894;SR 1394;I 85;1000008510.0;0.91;I 85;INTERSTATE;K;2013-10-24T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;Y;Y;N;N;REAR_END;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.70983322175891, 35.37320173402488]}";35.373201734, -80.7098332218
916;103983843.0;CHATHAM;18.0;SILER CITY;SR 1003;0.031;N;SR 1612;SR 1375;SR 1003;4000100320.0;7.771000000000001;SR 1003;SR;K;2014-02-11T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;SNOW;N;N;N;Y;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.40956280601381, 35.74980489433339]}";35.7498048943, -79.409562806
898;103463390.0;CATAWBA;17.0;MAIDEN;NC 150;0.7000000000000001;E;NC 16;SR 1853;NC 150;3000015020.0;1.6300000000000001;NC 150;NC;K;2012-05-29T22:00:00-04:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;UNK;N;Y;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.05369227372499, 35.565170738370234]}";35.5651707384, -81.0536922737
885;102818982.0;BURKE;11.0;MORGANTON;SR 1423;1.3;N;SR 1474;SR 1405;SR 1423;4000142310.0;3.16;SR 1423;SR;K;2010-03-19T21:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;UNKNOWN;N;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.73958938661185, 35.843202079606044]}";35.8432020796, -81.7395893866
913;102910946.0;CATAWBA;17.0;HICKORY;NC 127;0.5;N;SR 1120;US 321;NC 127;3000012720.0;0.96;NC 127;NC;K;2010-07-11T22:00:00-04:00;MONDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;WET;N;N;N;N;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-81.38183165811488, 35.63916062694521]}";35.6391606269, -81.3818316581
887;103955530.0;CHATHAM;18.0;PITTSBORO;US 1;0.047;S;SR 1011;SR 1972;US 1;2000000120.0;5.537;US 1;US;K;2014-01-17T20:00:00-05:00;SATURDAY;1899-12-29T19:09:21-05:00;DAWN;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.00245826627656, 35.64398413082]}";35.6439841308, -79.0024582663
1125;103860013.0;CUMBERLAND;25.0;HOPE MILLS;US 301;0.43;N;SR 1363;SR 2219;I 95BUS;1900009530.0;3.7150000000000003;I 95BUS;INTERSTATE;K;2013-09-19T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;N;N;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.90858319685968, 34.97840586902943]}";34.978405869, -78.9085831969
1122;102936493.0;DAVIDSON;28.0;LEXINGTON;I 85;0.74;SW;SR 2205;NC 8;I 85;1000008530.0;10.791;I 85;INTERSTATE;K;2010-08-11T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;WET;N;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.22730083254999, 35.788931240902144]}";35.7889312409, -80.2273008325
1127;103331132.0;CURRITUCK;26.0;CHESAPEAKE-VA;SR 1216;0.7000000000000001;W;NC 168;SR 1217;SR 1216;4000121630.0;0.7000000000000001;SR 1216;SR;K;2011-12-10T20:00:00-05:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;Y;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-76.18303501846047, 36.51413883325895]}";36.5141388333, -76.1830350185
1151;104175975.0;DAVIDSON;28.0;LEXINGTON;I 85;0.7000000000000001;SW;*MILE 85;*MILE 84;I 85;1000008530.0;1.92;I 85;INTERSTATE;K;2014-10-04T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;N;N;Y;N;N;N;OTHER;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.36547857333471, 35.73926502799514]}";35.739265028, -80.3654785733
1105;103238576.0;CUMBERLAND;25.0;FAYETTEVILLE;RAEFORD;0.006;NE;SKATEWAY;FESTIVAL;US 401;2000040130.0;4.316;US 401;US;K;2011-07-23T22:00:00-04:00;SUNDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;N;N;N;N;N;N;SIDESWIPE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-79.01113266814481, 35.03673053561212]}";35.0367305356, -79.0111326681
1135;103576515.0;DAVIDSON;28.0;DENTON;NC 49;0.2;S;SR 2545;SR 2540;NC 49;3000004930.0;5.3;NC 49;NC;K;2012-10-19T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;UNK;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-80.10860851007907, 35.54488837881606]}";35.5448883788, -80.1086085101
1101;103330421.0;CUMBERLAND;25.0;FAYETTEVILLE;RAEFORD;0.005;W;SKIBO;WILDWOOD;US 401;2000040130.0;6.375;US 401;US;K;2011-11-17T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;Y;N;N;FRONTAL_IMPACT;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.97623842812607, 35.0443998190258]}";35.044399819, -78.9762384281
1147;104227318.0;CUMBERLAND;25.0;FAYETTEVILLE;SR 1605;0.3;W;SR 1606;SR 1600;SR 1605;4000160530.0;2.38;SR 1605;SR;K;2014-11-06T20:00:00-05:00;FRIDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.89143634643484, 35.20343920304264]}";35.203439203, -78.8914363464
1110;103174875.0;CUMBERLAND;25.0;EASTOVER;US 13;0.1;W;SR 1863;I 95;US 13;2000001330.0;999.999;US 13;US;K;2011-05-23T22:00:00-04:00;TUESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;Y;N;N;N;Y;FRONTAL_IMPACT;ROUTE MEASURE NOT FOUND;;
1113;103229300.0;CUMBERLAND;25.0;FAYETTEVILLE;ROSEHILL;0.0;;HICKORY HILL;CHADWICK;ROSEHILL;5002648530.0;3.1;ROSEHILL;LCL;K;2011-08-05T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;DRY;Y;N;N;N;N;Y;OTHER;ROUTE NOT FOUND;;
1263;103873023.0;COLUMBUS;23.0;CHADBOURN;SR 1504;0.3;S;SR 1525;US 76;SR 1504;4000150420.0;7.354;SR 1504;SR;K;2013-10-11T22:00:00-04:00;SATURDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;N;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.87120188981388, 34.34030788615904]}";34.3403078862, -78.8712018898
1275;103443252.0;COLUMBUS;23.0;WHITEVILLE;SR 1336;0.6;S;SR 1004;SR 1335;SR 1336;4000133620.0;0.6;SR 1336;SR;K;2012-05-02T22:00:00-04:00;THURSDAY;1899-12-29T19:09:21-05:00;DARK - ROADWAY NOT LIGHTED;DRY;Y;N;N;Y;N;Y;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.76012036189613, 34.2667985816226]}";34.2667985816, -78.7601203619
1266;103629445.0;CUMBERLAND;25.0;FAYETTEVILLE;SR 1600;0.004;N;SR 2460;SR 1622;SR 1600;4000160030.0;2.8640000000000003;SR 1600;SR;K;2012-12-11T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;WET;Y;N;N;N;N;N;PEDESTRIAN;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-78.91110485559227, 35.14730637273255]}";35.1473063727, -78.9111048556
1203;103270198.0;CRAVEN;24.0;NEW BERN;NC 55;0.047;SE;KAREN;FULCHER;NC 55;3000005520.0;8.743;NC 55;NC;K;2011-09-22T22:00:00-04:00;FRIDAY;1899-12-29T19:09:21-05:00;DARK - LIGHTED ROADWAY;WET;N;N;N;Y;N;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-77.07973352006405, 35.11938849405926]}";35.1193884941, -77.0797335201
1187;103611859.0;CRAVEN;24.0;NEW BERN;SR 1004;0.1;W;SR 1965;SR 1186;SR 1004;4000100420.0;2.43;SR 1004;SR;K;2012-11-27T20:00:00-05:00;WEDNESDAY;1899-12-29T19:09:21-05:00;DAYLIGHT;DRY;N;N;N;N;Y;N;LANE_DEPARTURE;NO ERROR;"{""type"": ""Point"", ""coordinates"": [-77.05656460573793, 35.07064399227671]}";35.0706439923, -77.0565646057
